cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"6985","9221","161602","1133503","The Canandaigua National Bank and Trust Company","Canandaigua","NY","14424","3/31/2020","6/2/2020","N","72 S. Main St.","CANANDAIGUA NATIONAL CORP","24","0","","4","0","Ontario","40380","Rochester, NY","12/1/1887","1/1/1934","3/1/2018","Stock","0","1","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.cnbank.com","30690","4706","25984","3590","11593","5358","2480","","3755","23224","13831","2334","7059","10763","160","2360","8563","0","8563","0","8563","1610","9600","0","8436.6"
"23287","14063","664206","4369808","The Cape Cod Five Cents Savings Bank","Harwich Port","MA","2646","3/31/2020","6/2/2020","SB","532 Main St.","CAPE COD FIVE MUTUAL CO","23","0","","5","0","Barnstable","12700","Barnstable Town, MA","3/16/1855","1/2/1981","4/29/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.capecodfive.com","33687","6956","26731","2000","7650","2433","454","0","4763","25966","16562","3240","6164","6415","408","1592","5231","0","5231","0","5231","29","0","0","4908.68"
"15708","13596","646145","1398768","The Casey County Bank, Inc.","Liberty","KY","42539","3/31/2020","6/2/2020","SM","176 Wallace Wilkinson Blvd.","CASEY COUNTY BCORP INC","5","0","","8","0","Casey","","","12/20/1939","12/20/1939","1/1/2012","Stock","0","1","FED","DIF","Chicago","CHICAGO","Lexington","St. louis","Central","Southeast","0","1","www.caseybank.com","2358","373","1985","150","403","0","232","","171","1464","760","204","500","774","0","149","625","0","625","0","625","-12","0","0","625"
"8774","12147","982142","1928633","The Cecilian Bank","Cecilia","KY","42724","3/31/2020","6/2/2020","NM","104 E. Main","FIRST CECILIAN BCORP INC","20","0","","4","0","Hardin","21060","Elizabethtown-Fort Knox, KY","5/1/1903","1/1/1934","1/17/2020","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","http://www.thececilianbank.com","10377","1586","8791","75","1740","0","745","","995","7057","3785","761","2511","3399","0","546","2853","0","2853","0","2853","-115","0","0","2853"
"4181","16114","459354","1067411","The Central National Bank of Poteau","Poteau","OK","74953","3/31/2020","6/2/2020","N","209 Clayton St.","CENTRAL BANCSHARES POTEAU INC","6","0","","2","1","Le Flore","","","1/1/1902","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.cnbpoteau.com","2943","406","2537","140","539","0","266","","273","1850","1224","149","477","1086","0","0","1086","0","1086","0","1086","72","0","0","1086"
"12633","11369","853952","1094314","The Central Trust Bank","Jefferson City","MO","65101","3/31/2020","6/2/2020","SM","238 Madison St.","CENTRAL BANCOMPANY INC","15","0","","9","0","Cole","27620","Jefferson City, MO","2/3/1902","1/1/1934","5/28/2019","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","0","www.centralbank.net","20970","3786","17184","431","18591","0","1270","-10","17331","23726","13527","1973","8226","11618","-1351","2173","8094","0","8094","0","8094","294","7500","0","9161.29"
"24272","0","675051","","The Chasewood Bank","Houston","TX","77070","3/31/2020","6/2/2020","NM","20333 Hwy 249, # 100","","2","0","","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","2/14/1983","2/14/1983","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","http://www.chasewoodbank.com","963","212","751","0","38","0","8","","30","778","444","172","162","11","7","4","14","0","14","0","14","0","0","0","8.47"
"26847","11320","304520","2857758","The Chesapeake Bank & Trust Co.","Chestertown","MD","21620","3/31/2020","6/2/2020","NM","245 High St.","CHESAPEAKE BCORP EMPLOYEE STK OWNERSHIP PLAN WITH 401 K PROVISIONS","3","0","","8","1","Kent","","","12/15/1986","12/15/1986","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.chesapeaketrust.com","1060","135","925","100","121","0","21","","100","671","373","43","255","275","0","0","275","0","275","0","275","0","288","1","275"
"28157","1016","815772","4301394","The Cincinnatus Savings & Loan Co.","Cincinnati","OH","45211","3/31/2020","6/2/2020","SA","3300 Harrison Ave","CINCINNATUS CMTY BCORP MHC","3","0","","4","0","Hamilton","17140","Cincinnati, OH-KY-IN","1/1/1885","8/17/1959","11/30/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.cincinnatussl.com","999","191","808","3","106","0","6","","100","800","462","78","260","111","0","18","93","0","93","0","93","-4","0","0","93"
"9306","9775","617145","1099270","The Citizens Bank","Hickman","KY","42050","3/31/2020","6/2/2020","NM","1522 Union City Hwy.","CITIZENS BCORP OF HICKMAN INC","3","0","","2","1","Fulton","","","1/1/1930","1/1/1934","5/14/2019","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","www.citizenshickman.com","1614","443","1171","105","213","0","109","","104","994","490","102","402","285","183","0","468","0","468","0","468","36","20","0","285"
